uid;name;adm_level;latitude;longitude;country_code;country_name;country_uid;provider;g0;g1;g2;g3;g4
osm_392110;Dessalines;3;19.21834106;-72.45981127;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392354;osm_392110;
osm_392014;Dondon;3;19.52019946;-72.27127967;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_395432;osm_392014;
osm_392083;Ennery;3;19.49045523;-72.48349139;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392359;osm_392083;
osm_391934;Ferrier;3;19.64108233;-71.77051882;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394452;osm_391934;
osm_407578;Fonds Des Negres;3;18.38173178;-73.25141822;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393320;osm_407578;
osm_391401;Fonds Verrettes;3;18.35077649;-71.84027653;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_393329;osm_391401;
osm_391935;Fort Liberte;3;19.57301093;-71.85411565;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394452;osm_391935;
osm_391427;Ganthier;3;18.49735168;-72.01202365;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_393329;osm_391427;
osm_392098;Gonaives;3;19.49333779;-72.6256707;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392359;osm_392098;
osm_407254;Grand Boucon;3;18.56771339;-73.64262088;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_407263;osm_407254;
osm_387565;Grand Goave;3;18.35808104;-72.75709574;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387650;osm_387565;
osm_389584;Grand Gosier;3;18.26156846;-71.90260181;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394505;osm_389584;
osm_392109;Grand Saline;3;19.25824125;-72.70136219;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392354;osm_392109;
osm_391999;Grande Riviere du Nord;3;19.55117481;-72.16316647;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394488;osm_391999;
osm_387134;Gressier;3;18.50879933;-72.5097083;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_387134;
osm_391996;Gros Morne;3;19.70144426;-72.70546408;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392360;osm_391996;
osm_392072;Hinche;3;19.14432836;-72.01902945;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393486;osm_392072;
osm_391218;Ile A Vache;3;18.07734113;-73.63566166;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394518;osm_391218;
osm_391386;Jacmel;3;18.29564785;-72.51599992;HT;Haiti;osm_307829;osm;osm_307829;osm_391953;osm_394516;osm_391386;
osm_391926;Jean Rabel;3;19.83000631;-73.12793976;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393374;osm_391926;
osm_390550;Jeremie;3;18.53414065;-74.16095607;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393437;osm_390550;
osm_387116;Kenscoff;3;18.40280794;-72.28965852;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_387116;
osm_392119;La Chapelle;3;18.90931651;-72.33475837;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392364;osm_392119;
